,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS,OPS
PitcherID,10000001,10000004,10000007,10000012,10000060,10000066,10000071,10000095,10000096,10000101,10000113,10000117,10000151,10000153,10000155,10000184,10000189,10000193,10000202,10000247,10000249,10000250,10000276,10000291,10000328,10000330,10000335,10000342,10000364,10000367,10000371,10000372,10000421,10000426,10000432,10000466,10000469,10000506,10000519,10000520,10000555,10000556,10000564,10000567,10000569,10000602,10000613,10000622,10000694,10000746,10000748,10000786,10000805,10000807,10000842,10000843,10000848,10000850,10000886,10000895,10000931,10000970,10000977,10000981,10000986,10001017,10001025,10001031,10001064,10001065,10001072,10001150,10001154,10001157,10001161,10001186,10001187,10001191,10001202,10001203,10001243,10001250,10001290,10001303,10001305,10001333,10001335,10001337,10001345,10001350,10001353,10001629,10001986,10001993,10002046,10002058,10002066,10002077,10002091,10002098,10003142,10003206,10003212,10003259,10003284,10003322,10003325,10003360,10004421,10005232,10005234,10005288,10005290,10005294,10005311,10005315,10005327,10005337,10005349,10005351,10005587,10005787,10005835,10005848,10005879,10005913,10006172,10006183,10006353,10006438,10006571,10006766,10006824,10007245,10007361,10007523,10008667
BatterID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000029,,,,0.375,,,0.8,,,,,,,,,,,,,,,,,,,,,,1.6669999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222,,,,,,0.111,,,,,,,,,,,,,,,,,,,,0.9440000000000001,,,,0.77,,,,,,,,,,,,,,,,,,,,0.778,1.834,,,,,,,,,,,,,,,,,,,,,,,,
10000031,,,,0.875,,,0.9209999999999999,,,,,,,,,0.733,,,,,,,,,,,,,1.069,,,,,,0.708,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32899999999999996,,0.599,,,,1.0859999999999999,,,,,,,0.63,,,,,,,,,,,,,1.376,,0.802,,1.088,0.861,,1.571,0.496,,,,,,,,,,,,,,,,0.5529999999999999,1.286,,,,,,,1.611,,,,,,,,,,,,,,,,,
10000034,,,,,,,0.7390000000000001,,,,,,,,,0.606,,,,,,,,,,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,,,,,,0.46299999999999997,,,,,,,0.8440000000000001,,,,,,,,,,,,,0.9279999999999999,,0.6659999999999999,,0.985,,,,1.556,,,,,,,,,,,,,,,,0.539,0.637,,,,,,,0.925,,,,,,,,,,,,,,,,,
10000038,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0090000000000001,,,,0.581,,,,,,,,,,,,,,,,,,,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14300000000000002,,,1.08,0.512,,,,,0.629,,,,,,,,,,,0.857,,,,0.528,,,,0.6659999999999999,,,,,,,,,0.9,,,,,,,,1.159,,,,,,
10000040,,,,,,,0.39799999999999996,,,,,,,,,0.659,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.278,,2.333,,,,0.732,,,,,,,0.16699999999999998,,,,,,,,,,,,,0.0,,1.155,,,0.583,,1.0,1.2229999999999999,,,,,,,,,,,,,,,,0.794,1.0,,,,,,,0.977,,,,,,0.6659999999999999,,,,,,,,,,,
10000041,,,,,,,1.286,,,,,,,,,0.33399999999999996,,,,,,,,,,,,,0.9,,,,,,1.571,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,,0.111,,,,0.40399999999999997,,,,,,,1.615,,,,,,,,,,,,,0.708,,1.6669999999999998,,1.157,0.16699999999999998,,1.429,1.4,,,,,,,,,,,,,,,,0.629,1.4,,,,,,,1.625,,,,,,0.833,,,,,,,,,,,
10000045,,0.41700000000000004,,,,,,,,,,,,,0.55,,,,,,0.685,,,,1.0170000000000001,0.6659999999999999,0.111,,,,,,,,0.266,,1.617,1.155,,,0.9,,,,,,,,0.0,0.953,,,,,,,0.762,0.523,0.111,,,,0.7170000000000001,,,,,,0.158,,,,,,,,0.5720000000000001,,,0.624,,,0.807,0.591,,,,,,,0.1,,,1.083,,,,,,,,,,,,,,,,,,,,,0.429,,,,,,,,,,,,,,,,,,,,,,
10000073,,,,,,,,,,,1.1,,,,,,,,,,,,,0.5820000000000001,,,,,,,,,,,,,,,,,,,,,0.5,,0.41700000000000004,,,,,0.33399999999999996,,,,,,,0.44,,0.988,,,,,,,1.0,,,0.637,,,,,,,,0.804,,,,,,,,0.764,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.133,,,,,,,
