BatterID,PitcherID,OPS
10000137,10001203,0.776
10000129,10001203,0.927
10000176,10001187,1.241
10000165,10001187,0.829
10000040,10002058,1.223
10000405,10000007,0.849
10000870,10001064,0.786
10000357,10001065,0.907
10000393,10000007,0.68
10000684,10000193,1.063
10000350,10001065,0.757
10000733,10001629,0.82
10000173,10001187,0.685
10001314,10001065,0.796
10000125,10001203,0.826
10000534,10000519,1.269
10000529,10000519,1.1
10000489,10000564,0.85
10001038,10001065,0.622
10000045,10001203,0.624
10000542,10000519,0.682
10000177,10001187,0.509
10000034,10002058,1.556
10001087,10002058,1.2
10000041,10002058,1.4
10005530,10001187,0.891
10001896,10000007,1.143
10001089,10000095,1.175
10000407,10000007,0.551
10000812,10000519,1.25
10000994,10001203,0.977
10001356,10000249,1.154
10000682,10000249,0.732
10001005,10001064,0.717
10000777,10001064,0.652
10001357,10000007,0.611
10000121,10001203,0.611
10000453,10001187,0.707
10000770,10000095,1.333
10000779,10000095,0.944
10000675,10000193,1.319
10000578,10000519,0.819
10000491,10001064,0.777
10002087,10001064,1.278
10001322,10001203,1.317
10000772,10001187,0.819
10001282,10001187,0.749
10000690,10001064,1.338
10001368,10000249,0.725
10002013,10000519,0.583
10000691,10001629,0.571
10000164,10001187,0.354
10001223,10001065,1.1
10000737,10000007,0.666
10000498,10001629,0.666
10000734,10000564,1.262
10000916,10001203,0.833
10000445,10001629,0.833
10000395,10002058,0.583
10000525,10000519,0.666
10000598,10000564,0.555
10000856,10001064,0.444
10000769,10000095,0.7
10006354,10001203,0.7
10001184,10000519,0.473
10000857,10001064,0.812
10000214,10000193,0.432
10000908,10000564,0.421
10000859,10001064,0.21
10001862,10001629,0.5
10000862,10000001,0.334
10001964,10000249,0.286
10000771,10000095,0.286
10000900,10000564,0.25
10000225,10000519,0.347
10000954,10000001,0.444
10000735,10000249,0.166
10000031,10002058,0.496
10000494,10000095,0
10001354,10001187,0.167
10000601,10000249,0.071
10000492,10001629,0
10005384,10000001,0.167
10005377,10001629,0
10000780,10000095,0.333
10006561,10000249,0.182
10001279,10000469,0.635
10001168,10000276,1.733
10001325,10000850,0.739
10000632,10000371,1.091
10001274,10000469,0.757
10005363,10000469,0.894
10000918,10001335,0.642
10000600,10002091,1.77
10001267,10000469,0.565
10000875,10002091,1.1
10001313,10000850,0.496
10000029,10000364,1.667
10000734,10000569,1.671
10000485,10001335,0.8
10000908,10000569,0.955
10000723,10000426,0.785
10000312,10000426,1.015
10000593,10002091,0.708
10000084,10002091,0.513
10001261,10000469,0.484
10005589,10001335,2.067
10000317,10000426,1.143
10001361,10000276,0.875
10000031,10000364,1.069
10001271,10000469,0.6
10000073,10001335,0.764
10000041,10000364,0.9
10000718,10000569,0.9
10000489,10000569,0.793
10001365,10000276,0.774
10000860,10000371,0.461
10000034,10000364,0.9
10000530,10000371,0.833
10000442,10002091,1.166
10006568,10000569,0.929
10000499,10001335,0.762
10000301,10000426,0.661
10006662,10002091,0.444
10004784,10002091,0.967
10001371,10000276,0.697
10001309,10000850,0.438
10001320,10000850,0.327
10001918,10001335,1.133
10001961,10000569,0.334
10003193,10000426,0.334
10001966,10000469,0.347
10000954,10000371,0.25
10000533,10000850,0.346
10000487,10001335,0
10000311,10000426,0.091
10000826,10000850,0
10000590,10002091,0
10000407,10000613,1.103
10000405,10000613,0.7
10000737,10000613,0.59
10000393,10000613,0.682
10001896,10000613,1.131
10000031,10005351,1.611
10000312,10001350,1.122
10000723,10001350,1.471
10000040,10005351,0.977
10000129,10000746,0.782
10000137,10000746,1.11
10000041,10005351,1.625
10000485,10001202,1.155
10001279,10003360,1.136
10000045,10000746,0.953
10000125,10000746,0.838
10001357,10000613,0.334
10001361,10007245,3.125
10001087,10005351,1.125
10003193,10001350,1.208
10005363,10003360,0.733
10000395,10005351,0.666
10001089,10001017,0.749
10000994,10000746,0.9
10000302,10001350,0.9
10000579,10000613,0.929
10000073,10001202,0.804
10000034,10005351,0.925
10000317,10001350,0.473
10000311,10001350,0.75
10000081,10001350,0.334
10000769,10001017,1
10001322,10000746,0.533
10006354,10000746,0.9
10000674,10005351,0.829
10000304,10006438,0.667
10000496,10001202,0.834
10001371,10007245,0.334
10001267,10003360,0.619
10001365,10007245,0.389
10000121,10000746,0.5
10000301,10001350,0.286
10000918,10001202,0.393
10000487,10001202,0.536
10001133,10001350,0.523
10003217,10000613,0.2
10001966,10003360,0
10000499,10001202,0
10000219,10006438,0
10000123,10007245,0
10000312,10001337,1.339
10001090,10000328,1.179
10001094,10000328,1.643
10000771,10000101,1.433
10000129,10001993,1.129
10001085,10000328,0.867
10000769,10000101,0.819
10001132,10007523,1.633
10000311,10001337,1.2
10006056,10000328,0.819
10001088,10007523,1.286
10000780,10000101,0.6
10000770,10000101,1
10001133,10001337,0.75
10000317,10001337,0.466
10001089,10000101,0.423
10000301,10001337,0.666
10000731,10000328,0.833
10000045,10001993,1.083
10001083,10000328,1.205
10000302,10001337,0.775
10006354,10001993,0.833
10000125,10001993,0.856
10000137,10001993,0.648
10006044,10000328,0.75
10000446,10000328,0.55
10000081,10001337,0.597
10000682,10007523,0
10000681,10000328,0.111
10000077,10001345,0.774
10001000,10001154,1.039
10000038,10001345,1.08
